Name,Статус,Вход,Етаж,Тип,Описание,Продавач,Очаквана цена (EUR),Цена (EUR),Цена двор/тераса (EUR),Квадратура общо,Общи части,Чиста площ,Коеф. ид.ч,Брой бани,"Двор, м2","Тераси, м2","Земя, м2","Земя, %","Двор, %",ДОГОВОРИ,Кредит,Купувач,"Цена (BGN, оригинал)","Очаквана цена (BGN, оригинал)","Цена двор/тераса (BGN, оригинал)"
Ап.1,Свободен,А,0,Двустаен,"дневна с к.бокс, 1 сп., баня и тераса",,,,,49.02661142,6.06661142,42.96,0.536,,50.14,,6.011056003,0.00302824,,,false,,,,
Ап.2,Свободен,А,0,Двустаен,"дневна с к.бокс, 1 сп., баня и тераса",,,,,52.564379,6.504379,46.06,0.5747,,61.27,,6.444814699,0.003246758,,,false,,,,
Ап.3,Обезщетение,А,0,Тристаен,"дневна с к.бокс, 2 сп., баня и тераса",,,,,81.87431338,10.25431338,71.62,0.906,,86.98,,10.1604088,0.005118594,,,false,,,,
Ап.4,Обезщетение,А,0,Тристаен,"дневна с к.бокс, 2 сп., баня и тераса",,,,,88.15066633,11.50066633,76.65,1.0161,,66.64,,11.39534818,0.00574073,,,false,,,,
Ап.5,Свободен,А,0,Двустаен,"дневна с к.бокс, 1 сп., баня и тераса",,,,,58.43319341,7.75319341,50.68,0.685,,37.62,,7.682193003,0.003870122,,,false,,,,
Ап.6,Свободен,А,0,Двустаен,"дневна с к.бокс, 1 сп., баня и тераса",,,,,54.89353469,7.28353469,47.61,0.6435,,35.34,,7.216835218,0.003635685,,,false,,,,
Ап.7,Свободен,А,0,Двустаен,"дневна с к.бокс, 1 сп., баня и тераса",,,,,63.24113375,8.39113375,54.85,0.7414,,41.68,,8.314291362,0.00418856,,,false,,,,
Ап.8,Свободен,А,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,62.66906271,8.69906271,53.97,0.7686,,,,8.619400439,0.004342267,,,false,,,,
Ап.9,Свободен,А,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,67.11639475,9.31639475,57.8,0.8231,,,,9.231079218,0.004650418,,,false,,,,
Ап.10,Свободен,А,1,Тристаен,"дневна с к.бокс, 2 сп., баня и балкон",,,,,89.79290665,12.61290665,77.18,1.1143,,,,12.49740308,0.006295921,,,false,,,,
Ап.11,Свободен,А,1,Тристаен,"дневна с к.бокс, 2 сп., баня и балкон",,,,,96.30077162,14.08077162,82.22,1.244,,,,13.95182598,0.007028628,,,false,,,,
Ап.12,Свободен,А,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,73.30773724,10.89773724,62.41,0.9628,,,,10.79794046,0.005439768,,,false,,,,
Ап.13,Свободен,А,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,68.86769163,10.23769163,58.63,0.9045,,,,10.14393926,0.005110297,,,false,,,,
Ап.14,Свободен,А,1,Едностаен,"дневна с к.бокс, баня и балкон",,,,,42.08646411,6.25646411,35.83,0.5528,,,,6.199170111,0.003123008,,,false,,,,
Ап.15,Свободен,А,1,Тристаен,"дневна с к.бокс, 2 сп., 2 бани и балкон",,,,,104.5276812,14.3676812,90.16,1.2694,,,31.85,14.23610812,0.007171843,,,false,,,,
Ап.16,Обезщетение,А,1,Тристаен,"дневна с к.бокс, 2 сп., баня, WC и балкон",,,,,96.34261651,13.24261651,83.1,1.17,,,75.38,13.12134633,0.00661025,,,false,,,,
Ап.17,Свободен,А,1,Тристаен,"дневна с к.бокс, 2 сп., баня, WC и балкон",,,,,95.79868825,12.72868825,83.07,1.1246,,,68.24,12.6121244,0.006353715,,,false,,,,
Ап.18,Свободен,А,1,Едностаен,"дневна с к.бокс, баня и балкон",,,,,37.81986466,4.84986466,32.97,0.4285,,,17.13,4.80545169,0.002420882,,,false,,,,
Ап.19,Обезщетение,А,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,63.91637425,8.19637425,55.72,0.7241,,,28.38,8.121315382,0.004091343,,,false,,,,
Ап.20,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,62.66906271,8.69906271,53.97,0.7686,,,,8.619400439,0.004342267,,,false,,,,
Ап.21,Обезщетение,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,67.11639475,9.31639475,57.8,0.8231,,,,9.231079218,0.004650418,,,false,,,,
Ап.22,Свободен,А,2,Тристаен,"дневна с к.бокс, 2 сп., баня и балкон",,,,,89.79290665,12.61290665,77.18,1.1143,,,,12.49740308,0.006295921,,,false,,,,
Ап.23,Свободен,А,2,Тристаен,"дневна с к.бокс, 2 сп., баня и балкон",,,,,96.30077162,14.08077162,82.22,1.244,,,,13.95182598,0.007028628,,,false,,,,
Ап.24,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,73.30773724,10.89773724,62.41,0.9628,,,,10.79794046,0.005439768,,,false,,,,
Ап.25,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,68.86769163,10.23769163,58.63,0.9045,,,,10.14393926,0.005110297,,,false,,,,
Ап.26,Обезщетение,А,2,Едностаен,"дневна с к.бокс, баня и балкон",,,,,42.08646411,6.25646411,35.83,0.5528,,,,6.199170111,0.003123008,,,false,,,,
Ап.27,Свободен,А,2,Тристаен,"дневна с к.бокс, 2 сп., 2 бани и балкон",,,,,113.362117,16.852117,96.51,1.4889,,,,16.69779256,0.008411986,,,false,,,,
Ап.28,Свободен,А,2,Четиристаен,"дневна с к.бокс, 3 сп., баня, WC и балкон",,,,,133.2704981,19.7304981,113.54,1.7432,,,,19.54981474,0.009848773,,,false,,,,
Ап.29,Обезщетение,А,2,Тристаен,"дневна с к.бокс, 2 сп., 2 бани, мокро и балкон",,,,,122.6294235,17.6294235,105,1.5575,,,,17.46798079,0.00879999,,,false,,,,
Ап.30,Свободен,А,2,Едностаен,"дневна с к.бокс, баня и балкон",,,,,38.28421341,5.31421341,32.97,0.4695,,,,5.265548128,0.002652669,,,false,,,,
Ап.31,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,64.70113348,8.98113348,55.72,0.7935,,,,8.898888132,0.004483067,,,false,,,,
Ап.32,Свободен,А,3,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,62.66906271,8.69906271,53.97,0.7686,,,,8.619400439,0.004342267,,,false,,,,
Ап.33,Обезщетение,А,3,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,67.11639475,9.31639475,57.8,0.8231,,,,9.231079218,0.004650418,,,false,,,,
Ап.34,Обезщетение,А,3,Тристаен,"дневна с к.бокс, 2 сп., баня и балкон",,,,,89.79290665,12.61290665,77.18,1.1143,,,,12.49740308,0.006295921,,,false,,,,
Ап.35,Обезщетение,А,3,Тристаен,"дневна с к.бокс, 2 сп., баня и балкон",,,,,96.30077162,14.08077162,82.22,1.244,,,,13.95182598,0.007028628,,,false,,,,
Ап.36,Свободен,А,3,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,73.30773724,10.89773724,62.41,0.9628,,,,10.79794046,0.005439768,,,false,,,,
Ап.37,Обезщетение,А,3,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,68.86769163,10.23769163,58.63,0.9045,,,,10.14393926,0.005110297,,,false,,,,
Ап.38,Свободен,А,3,Едностаен,"дневна с к.бокс, баня и балкон",,,,,42.08646411,6.25646411,35.83,0.5528,,,,6.199170111,0.003123008,,,false,,,,
Ап.39,Свободен,А,3,Тристаен,"дневна с к.бокс, 2 сп., 2 бани и балкон",,,,,113.362117,16.852117,96.51,1.4889,,,,16.69779256,0.008411986,,,false,,,,
Ап.40,Свободен,А,3,Четиристаен,"дневна с к.бокс, 3 сп., баня, WC и балкон",,,,,133.2704981,19.7304981,113.54,1.7432,,,,19.54981474,0.009848773,,,false,,,,
Ап.41,Свободен,А,3,Тристаен,"дневна с к.бокс, 2 сп., 2 бани, мокро и балкон",,,,,122.6294235,17.6294235,105,1.5575,,,,17.46798079,0.00879999,,,false,,,,
Ап.42,Свободен,А,3,Едностаен,"дневна с к.бокс, баня и балкон",,,,,38.28421341,5.31421341,32.97,0.4695,,,,5.265548128,0.002652669,,,false,,,,
Ап.43,Свободен,А,3,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,64.70113348,8.98113348,55.72,0.7935,,,,8.898888132,0.004483067,,,false,,,,
Ап.44,Свободен,А,4,Двустаен,"дневна с к.бокс, 1 сп. и баня",,,,,71.08872455,9.36872455,61.72,0.8277,,,20.19,9.282929806,0.004676539,,,false,,,,
Ап.45,Свободен,А,4,Двустаен,"дневна с к.бокс, 1 сп. и баня",,,,,66.80348979,8.88348979,57.92,0.7849,,,60.31,8.802138615,0.004434327,,,false,,,,
Ап.46,Обезщетение,А,4,Тристаен,"дневна с к.бокс, 2 сп. и баня",,,,,94.76241042,13.38241042,81.38,1.1823,,,63.18,13.25986006,0.00668003,,,false,,,,
Ап.47,Свободен,А,4,Тристаен,"дневна с к.бокс, 2 сп. и баня",,,,,84.74819649,11.96819649,72.78,1.0574,,,22,11.8585969,0.005974104,,,false,,,,
Ап.48,Свободен,А,4,Двустаен,"дневна с к.бокс, 1 сп. и баня",,,,,74.79220473,10.56220473,64.23,0.9332,,,32.42,10.46548061,0.005272282,,,false,,,,
Ап.49,Свободен,А,4,Четиристаен,"дневна с к.бокс, 3 сп. 2 бани и мокро",,,,,153.0332221,21.3432221,131.69,1.8857,,,96.53,21.14777003,0.010653788,,,false,,,,
Ап.50,Свободен,А,4,Двустаен,"дневна с к.бокс, 1 сп. и баня",,,,,73.26561518,9.65561518,63.61,0.8531,,,24.7,9.56719321,0.004819745,,,false,,,,
Ап.Б-1,Свободен,Б,0,Едностаен,"дневна с к.бокс, баня и тераса",,,,,28.45049866,3.52049866,24.93,0.311,,35.34,,3.488259454,0.00175731,,,false,,,,
Ап.Б-2,Свободен,Б,0,Едностаен,"дневна с к.бокс, баня и тераса",,,,,30.036788,3.716788,26.32,0.3284,,21.66,,3.682751257,0.00185529,,,false,,,,
Ап.Б-3,Свободен,Б,0,Двустаен,"дневна с к.бокс, 1 сп., баня и тераса",,,,,51.2633935,6.3433935,44.92,0.5604,,36.48,,6.285303437,0.0031664,,,false,,,,
Ап.Б-4,Свободен,Б,0,Тристаен,"дневна с к.бокс, 2 сп., баня и тераса",,,,,80.05666247,10.02666247,70.03,0.8858,,77.39,,9.934842614,0.005004958,,,false,,,,
Ап.Б-5,Свободен,Б,0,Тристаен,"дневна с к.бокс, 2 сп., баня и тераса",,,,,86.17259528,11.24259528,74.93,0.9933,,109.79,,11.13964043,0.00561191,,,false,,,,
Ап.Б-6,Обезщетение,Б,0,Двустаен,"дневна с к.бокс, 1 сп., баня и тераса",,,,,60.23184735,7.99184735,52.24,0.7061,,60.2,,7.918661454,0.00398925,,,false,,,,
Ап.Б-7,Свободен,Б,0,Тристаен,"дневна с к.бокс, 2 сп., 2 бани и тераса",,,,,95.44395719,12.66395719,82.78,1.1189,,95.26,,12.54798612,0.006321404,,,false,,,,
Ап.Б-9,Свободен,Б,1,Едностаен,"дневна с к.бокс, баня и балкон",,,,,36.26375446,5.03375446,31.23,0.4447,,,,4.987657508,0.002512674,,,false,,,,
Ап.Б-10,Депозит,Б,1,Едностаен,"дневна с к.бокс, баня и балкон",ВМИнвест,,44980.90,,38.28421341,5.31421341,32.97,0.4695,1,,,5.265548128,0.002652669,,"Ангел Николов Горастев-вх. Б, ап.10",false,Ангел Николов Горастев,87975,,
Ап.Б-11,Свободен,Б,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,65.3746198,9.0746198,56.3,0.8017,,,,8.991518338,0.004529732,,,false,,,,
Ап.Б-12,Свободен,Б,1,Тристаен,"дневна с к.бокс, 2 сп., баня и балкон",,,,,87.52423383,12.29423383,75.23,1.0862,,,,12.18164853,0.006136851,,,false,,,,
Ап.Б-13,Свободен,Б,1,Тристаен,"дневна с к.бокс, 2 сп., баня и балкон",,,,,93.86455653,13.72455653,80.14,1.2126,,,,13.59887295,0.006850818,,,false,,,,
Ап.Б-14,Свободен,Б,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,75.5395062,11.2295062,64.31,0.9921,,,,11.12667122,0.005605376,,,false,,,,
Ап.Б-15,Обезщетение,Б,1,Тристаен,"дневна с к.бокс, 2сп., 2 бани и балкон",,,,,120.0221854,17.8421854,102.18,1.5763,,,,17.67879436,0.008906194,,,false,,,,
Ап.Б-16,Обезщетение,Б,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,68.51803412,9.41803412,59.1,0.8321,,,11.15,9.33178782,0.004701153,,,false,,,,
Ап.Б-17,Свободен,Б,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,66.32684826,9.11684826,57.21,0.8055,,,27.28,9.033360088,0.004550811,,,false,,,,
Ап.Б-18,Свободен,Б,1,Тристаен,"дневна с к.бокс, 2 сп., баня, WC и балкон",,,,,96.5860816,13.2760816,83.31,1.1729,,,57.46,13.15450496,0.006626955,,,false,,,,
Ап.Б-19,Свободен,Б,1,Тристаен,"дневна с к.бокс, 2 сп., баня, WC и балкон",,,,,88.38342924,11.74342924,76.64,1.0375,,,62.95,11.63588798,0.005861908,,,false,,,,
Ап.Б-20,Обезщетение,Б,1,Двустаен,"дневна с к.бокс, 1 сп., баня и балкон",,,,,60.32595337,7.73595337,52.59,0.6835,,,31.1,7.665110839,0.003861517,,,false,,,,
