Name,Статус,Вход,Етаж,Тип,Описание,Продавач,Очаквана цена (EUR),Цена (EUR),Цена двор/тераса (EUR),Квадратура общо,Общи части,Чиста площ,Коеф. ид.ч,Брой бани,"Двор, м2","Тераси, м2","Земя, м2","Земя, %","Двор, %",ДОГОВОРИ,Кредит,Купувач,"Цена (BGN, оригинал)","Очаквана цена (BGN, оригинал)","Цена двор/тераса (BGN, оригинал)"
Апартамент 1,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня, склад",,,,,63.1,10.01,53.09,,1,69.94,,41.56,0.786,1.322,,false,,,,
Апартамент 2,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня, склад",,,,,55.34,8.78,46.56,,1,77.76,,41.79,0.79,1.47,,false,,,,
Апартамент 3,Свободен,А,2,Четиристаен,"дневна с к.бокс, 3 сп., 2 бани, склад",,,,,118.23,18.92,99.31,,1,191.77,,84.55,1.599,3.626,,false,,,,
Апартамент 4,Свободен,А,2,Четиристаен,"дневна с к.бокс, 3 сп., 2 бани, склад",,,,,124.68,20.64,104.04,,2,239.57,,98.92,1.87,4.53,,false,,,,
Апартамент 5,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня, склад",,,,,59.57,10.1,49.47,,1,59.21,,39.02,0.738,1.119,,false,,,,
Апартамент 6,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня, склад",,,,,59.57,10.1,49.47,,1,59.27,,39.03,0.738,1.121,,false,,,,
Апартамент 7,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня, склад",,,,,59.54,10.1,49.44,,1,59.42,,39.06,0.738,1.123,,false,,,,
Апартамент 8,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., дрешник и баня",,,,,78.36,13.29,65.07,,1,68.35,,45.78,0.866,1.292,,false,,,,
Апартамент 9,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., дрешник и баня",,,,,87.57,14.85,72.72,,1,68.03,,47.9,0.906,1.286,,false,,,,
Апартамент 10,Свободен,А,2,Двустаен,"дневна с к.бокс, 1 сп., баня, склад",,,,,58.8,9.33,49.47,,1,79.56,,43.01,0.813,1.504,,false,,,,
